# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
GCD7	YLR291C	YLR291C_mRNA	protein_coding	1	0	15	11	0	0	0	0	0	1	4
GCS1	YDL226C	YDL226C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
GEA1	YJR031C	YJR031C_mRNA	protein_coding	2	0	5	2	0	0	0	0	0	2	3
GEA2	YEL022W	YEL022W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
GEF1	YJR040W	YJR040W_mRNA	protein_coding	2	1	10	6	0	1	0	0	0	2	4
GEP5	YLR091W	YLR091W_mRNA	protein_coding	1	1	9	4	0	1	0	0	0	1	5
GEP7	YGL057C	YGL057C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
GEX1	YCL073C	YCL073C_mRNA	protein_coding	1	0	7	7	0	0	0	0	0	1	0
GEX2	YKR106W	YKR106W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
GID7	YCL039W	YCL039W_mRNA	protein_coding	0	0	7	0	0	0	0	0	0	0	7
GIM5	YML094W	YML094W_mRNA	protein_coding	0	0	7	5	0	0	0	0	0	0	2
GIP1	YBR045C	YBR045C_mRNA	protein_coding	0	0	7	5	0	0	0	0	0	0	2
GIS1	YDR096W	YDR096W_mRNA	protein_coding	1	0	1	1	0	0	0	0	0	1	0
GIS3	YLR094C	YLR094C_mRNA	protein_coding	1	0	12	5	0	0	0	0	0	1	7
GLK1	YCL040W	YCL040W_mRNA	protein_coding	3	0	7	0	0	0	0	0	0	3	7
GLO2	YDR272W	YDR272W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
GMC1	YDR506C	YDR506C_mRNA	protein_coding	0	0	2	2	0	0	0	0	0	0	0
GPI16	YHR188C	YHR188C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
GPI18	YBR004C	YBR004C_mRNA	protein_coding	1	0	10	6	0	0	0	0	0	1	4
GPN3	YLR243W	YLR243W_mRNA	protein_coding	0	0	8	4	0	0	0	0	0	0	4
GPX2	YBR244W	YBR244W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
GRE2	YOL151W	YOL151W_mRNA	protein_coding	1	0	5	5	0	0	0	0	0	1	0
GRX3	YDR098C	YDR098C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
GRX7	YBR014C	YBR014C_mRNA	protein_coding	1	0	8	0	0	0	0	0	0	1	8
GRX8	YLR364W	YLR364W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
GSC2	YGR032W	YGR032W_mRNA	protein_coding	1	0	6	3	0	0	0	0	0	1	3
GSF2	YML048W	YML048W_mRNA	protein_coding	1	2	10	1	0	2	0	0	0	1	9
GSP1	YLR293C	YLR293C_mRNA	protein_coding	1	0	6	2	0	0	0	0	0	1	4
GSY2	YLR258W	YLR258W_mRNA	protein_coding	3	0	9	8	0	0	0	0	0	3	1
GTR1	YML121W	YML121W_mRNA	protein_coding	0	0	20	4	0	0	0	0	0	0	16
GTR2	YGR163W	YGR163W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
GUF1	YLR289W	YLR289W_mRNA	protein_coding	2	0	12	2	0	0	0	0	0	2	10
GUP2	YPL189W	YPL189W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
GUS1	YGL245W	YGL245W_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
GYP1	YOR070C	YOR070C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
HAM1	YJR069C	YJR069C_mRNA	protein_coding	0	0	11	2	0	0	0	0	0	0	9
HAP1	YLR256W	YLR256W_mRNA	protein_coding	5	1	4	0	0	1	0	0	0	5	4
HAP2	YGL237C	YGL237C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
HAP3	YBL021C	YBL021C_mRNA	protein_coding	0	0	16	6	0	0	0	0	0	0	10
HAT2	YEL056W	YEL056W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
HBN1	YCL026C-B	YCL026C-B_mRNA	protein_coding	0	0	4	0	0	0	0	0	0	0	4
HEM2	YGL040C	YGL040C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
HFM1	YGL251C	YGL251C_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
HHF1	YBR009C	YBR009C_mRNA	protein_coding	0	0	12	9	0	0	0	0	0	0	3
HHT1	YBR010W	YBR010W_mRNA	protein_coding	0	0	9	2	0	0	0	0	0	0	7
HIR1	YBL008W	YBL008W_mRNA	protein_coding	2	1	11	5	0	1	0	0	0	2	6
HIS5	YIL116W	YIL116W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
HIT1	YJR055W	YJR055W_mRNA	protein_coding	2	0	12	9	0	0	0	0	0	2	3
HMG1	YML075C	YML075C_mRNA	protein_coding	1	0	3	2	0	0	0	0	0	1	1
HMLALPHA1	YCL066W	YCL066W_mRNA	protein_coding	0	0	6	6	0	0	0	0	0	0	0
HMLALPHA2	YCL067C	YCL067C_mRNA	protein_coding	0	0	6	1	0	0	0	0	0	0	5
HMS1	YOR032C	YOR032C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
HO	YDL227C	YDL227C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
HOC1	YJR075W	YJR075W_mRNA	protein_coding	0	0	9	0	0	0	0	0	0	0	9
HOP2	YGL033W	YGL033W_mRNA	protein_coding	0	0	3	0	0	0	0	0	0	0	3
HPA2	YPR193C	YPR193C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
HPC2	YBR215W	YBR215W_mRNA	protein_coding	0	0	3	1	0	0	0	0	0	0	2
HPF1	YOL155C	YOL155C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
HRI1	YLR301W	YLR301W_mRNA	protein_coding	0	0	5	2	0	0	0	0	0	0	3
HRT3	YLR097C	YLR097C_mRNA	protein_coding	0	0	9	6	0	0	0	0	0	0	3
HSP26	YBR072W	YBR072W_mRNA	protein_coding	0	0	3	1	0	0	0	0	0	0	2
HSP60	YLR259C	YLR259C_mRNA	protein_coding	2	0	10	4	0	0	0	0	0	2	6
HSX1	tR(CCU)J	tR(CCU)J_tRNA	protein_coding	0	0	12	9	0	0	0	0	0	0	3
HTA2	YBL003C	YBL003C_mRNA	protein_coding	0	0	10	7	0	0	0	0	0	0	3
HTB2	YBL002W	YBL002W_mRNA	protein_coding	0	0	9	3	0	0	0	0	0	0	6
HUB1	YNR032C-A	YNR032C-A_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
HUL4	YJR036C	YJR036C_mRNA	protein_coding	3	1	13	9	0	1	0	0	0	3	4
HXK2	YGL253W	YGL253W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
HXT11	YOL156W	YOL156W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
HXT8	YJL214W	YJL214W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
HXT9	YJL219W	YJL219W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
ICT1	YLR099C	YLR099C_mRNA	protein_coding	0	0	3	3	0	0	0	0	0	0	0
IES3	YLR052W	YLR052W_mRNA	protein_coding	0	0	3	2	0	0	0	0	0	0	1
IFH1	YLR223C	YLR223C_mRNA	protein_coding	2	0	10	4	0	0	0	0	0	2	6
ILV5	YLR355C	YLR355C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
IMA2	YOL157C	YOL157C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
IMA5	YJL216C	YJL216C_mRNA	protein_coding	0	1	0	0	0	1	0	0	0	0	0
IMD4	YML056C	YML056C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
IMH1	YLR309C	YLR309C_mRNA	protein_coding	2	0	13	11	0	0	0	0	0	2	2
IMO32	YGR031W	YGR031W_mRNA	protein_coding	0	0	4	2	0	0	0	0	0	0	2
IMP2	YMR035W	YMR035W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
IMT3	tM(CAU)J3	tM(CAU)J3_tRNA	protein_coding	0	0	7	2	0	0	0	0	0	0	5
IMT4	tM(CAU)E	tM(CAU)E_tRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
INO2	YDR123C	YDR123C_mRNA	protein_coding	2	0	11	2	0	0	0	0	0	2	9
INP1	YMR204C	YMR204C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
INP52	YNL106C	YNL106C_mRNA	protein_coding	4	1	11	7	0	1	0	0	0	4	4
INP53	YOR109W	YOR109W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
IOC2	YLR095C	YLR095C_mRNA	protein_coding	2	1	5	1	0	1	0	0	0	2	4
IPP1	YBR011C	YBR011C_mRNA	protein_coding	1	1	6	6	0	1	0	0	0	1	0
IRC2	YDR112W	YDR112W_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
IRC20	YLR247C	YLR247C_mRNA	protein_coding	2	3	5	1	0	3	0	0	0	2	4
IRC23	YOR044W	YOR044W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
IRC25	YLR021W	YLR021W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
IRC5	YFR038W	YFR038W_mRNA	protein_coding	1	0	1	0	0	0	0	0	0	1	1
IRC6	YFR043C	YFR043C_mRNA	protein_coding	0	0	2	1	0	0	0	0	0	0	1
IRE1	YHR079C	YHR079C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
IST2	YBR086C	YBR086C_mRNA	protein_coding	0	1	1	0	0	1	0	0	0	0	1
ISW1	YBR245C	YBR245C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
ISY1	YJR050W	YJR050W_mRNA	protein_coding	0	0	9	2	0	0	0	0	0	0	7
ITT1	YML068W	YML068W_mRNA	protein_coding	0	1	4	4	0	1	0	0	0	0	0
JIP3	YLR331C	YLR331C_mRNA	protein_coding	0	1	2	1	0	1	0	0	0	0	1
KAP104	YBR017C	YBR017C_mRNA	protein_coding	3	0	12	7	0	0	0	0	0	3	5
KAP95	YLR347C	YLR347C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
KAR4	YCL055W	YCL055W_mRNA	protein_coding	3	0	14	3	0	0	0	0	0	3	11
KAR9	YPL269W	YPL269W_mRNA	protein_coding	0	0	2	2	0	0	0	0	0	0	0
KCC4	YCL024W	YCL024W_mRNA	protein_coding	0	0	3	0	0	0	0	0	0	0	3
KCH1	YJR054W	YJR054W_mRNA	protein_coding	0	0	12	9	0	0	0	0	0	0	3
KEG1	YFR042W	YFR042W_mRNA	protein_coding	0	1	1	1	0	1	0	0	0	0	0
KEL1	YHR158C	YHR158C_mRNA	protein_coding	1	1	0	0	0	1	0	0	0	1	0
KEL3	YPL263C	YPL263C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
KES1	YPL145C	YPL145C_mRNA	protein_coding	1	0	0	0	0	0	0	0	0	1	0
KGD1	YIL125W	YIL125W_mRNA	protein_coding	1	0	0	0	0	0	0	0	0	1	0
KIN1	YDR122W	YDR122W_mRNA	protein_coding	1	0	13	9	0	0	0	0	0	1	4
KIN2	YLR096W	YLR096W_mRNA	protein_coding	1	0	10	3	0	0	0	0	0	1	7
KIP3	YGL216W	YGL216W_mRNA	protein_coding	4	1	2	2	0	1	0	0	0	4	0
KRE5	YOR336W	YOR336W_mRNA	protein_coding	0	1	1	0	0	1	0	0	0	0	1
KRR1	YCL059C	YCL059C_mRNA	protein_coding	1	0	24	14	0	0	0	0	0	1	10
KSS1	YGR040W	YGR040W_mRNA	protein_coding	1	0	10	8	0	0	0	0	0	1	2
LAA1	YJL207C	YJL207C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
LAM1	YHR155W	YHR155W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
LAM4	YHR080C	YHR080C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
LAM6	YLR072W	YLR072W_mRNA	protein_coding	1	0	10	9	0	0	0	0	0	1	1
LAP2	YNL045W	YNL045W_mRNA	protein_coding	1	0	3	3	0	0	0	0	0	1	0
LCB5	YLR260W	YLR260W_mRNA	protein_coding	4	1	10	4	0	1	0	0	0	4	6
LDB19	YOR322C	YOR322C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
LDB7	YBL006C	YBL006C_mRNA	protein_coding	0	0	10	5	0	0	0	0	0	0	5
LEM3	YNL323W	YNL323W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
LEU4	YNL104C	YNL104C_mRNA	protein_coding	1	0	10	8	0	0	0	0	0	1	2
LEU9	YOR108W	YOR108W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
LIA1	YJR070C	YJR070C_mRNA	protein_coding	1	0	10	2	0	0	0	0	0	1	8
LIN1	YHR156C	YHR156C_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
LIP2	YLR239C	YLR239C_mRNA	protein_coding	0	0	4	0	0	0	0	0	0	0	4
LNP1	YHR192W	YHR192W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
LPP1	YDR503C	YDR503C_mRNA	protein_coding	1	1	0	0	0	1	0	0	0	1	0
LRE1	YCL051W	YCL051W_mRNA	protein_coding	3	3	15	12	0	3	0	0	0	3	3
LSB1	YGR136W	YGR136W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
LSM2	YBL026W	YBL026W_mRNA	protein_coding	0	0	6	1	0	0	0	0	0	0	5
LSM3	YLR438C-A	YLR438C-A_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
LSP1	YPL004C	YPL004C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
LST7	YGR057C	YGR057C_mRNA	protein_coding	0	0	6	6	0	0	0	0	0	0	0
MAP1	YLR244C	YLR244C_mRNA	protein_coding	0	0	8	2	0	0	0	0	0	0	6
MATALPHA1	YCR040W	YCR040W_mRNA	protein_coding	2	0	1	0	0	0	0	0	0	2	1
MATALPHA2	YCR039C	YCR039C_mRNA	protein_coding	0	0	3	1	0	0	0	0	0	0	2
MCM2	YBL023C	YBL023C_mRNA	protein_coding	0	0	8	1	0	0	0	0	0	0	7
MCM5	YLR274W	YLR274W_mRNA	protein_coding	2	0	6	1	0	0	0	0	0	2	5
MCP2	YLR253W	YLR253W_mRNA	protein_coding	1	1	7	5	0	1	0	0	0	1	2
MCX1	YBR227C	YBR227C_mRNA	protein_coding	1	0	3	3	0	0	0	0	0	1	0
MDJ2	YNL328C	YNL328C_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
MDL2	YPL270W	YPL270W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
MDM1	YML104C	YML104C_mRNA	protein_coding	2	0	8	7	0	0	0	0	0	2	1
MDM30	YLR368W	YLR368W_mRNA	protein_coding	0	0	2	1	0	0	0	0	0	0	1
MDM31	YHR194W	YHR194W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
MDM34	YGL219C	YGL219C_mRNA	protein_coding	0	0	6	0	0	0	0	0	0	0	6
MEC3	YLR288C	YLR288C_mRNA	protein_coding	5	2	9	6	0	2	0	0	0	5	3
MEF1	YLR069C	YLR069C_mRNA	protein_coding	5	1	6	5	0	1	0	0	0	5	1
MEP1	YGR121C	YGR121C_mRNA	protein_coding	0	0	2	1	0	0	0	0	0	0	1
MET17	YLR303W	YLR303W_mRNA	protein_coding	0	0	6	4	0	0	0	0	0	0	2
MET18	YIL128W	YIL128W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
MET30	YIL046W	YIL046W_mRNA	protein_coding	0	1	0	0	0	1	0	0	0	0	0
MET4	YNL103W	YNL103W_mRNA	protein_coding	0	2	5	0	0	2	0	0	0	0	5
MET8	YBR213W	YBR213W_mRNA	protein_coding	0	1	2	2	0	1	0	0	0	0	0
MEU1	YLR017W	YLR017W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
MF(ALPHA)1	YPL187W	YPL187W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
MFT1	YML062C	YML062C_mRNA	protein_coding	0	0	2	2	0	0	0	0	0	0	0
MGR1	YCL044C	YCL044C_mRNA	protein_coding	0	0	14	7	0	0	0	0	0	0	7
MID2	YLR332W	YLR332W_mRNA	protein_coding	1	0	2	1	0	0	0	0	0	1	1
MIG1	YGL035C	YGL035C_mRNA	protein_coding	2	0	2	2	0	0	0	0	0	2	0
MIG2	YGL209W	YGL209W_mRNA	protein_coding	0	0	3	0	0	0	0	0	0	0	3
MIH1	YMR036C	YMR036C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
MIM2	YLR099W-A	YLR099W-A_mRNA	protein_coding	0	0	3	0	0	0	0	0	0	0	3
MIP1	YOR330C	YOR330C_mRNA	protein_coding	2	1	2	2	0	1	0	0	0	2	0
MIR1	YJR077C	YJR077C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
MLC2	YPR188C	YPR188C_mRNA	protein_coding	0	0	3	0	0	0	0	0	0	0	3
MLH2	YLR035C	YLR035C_mRNA	protein_coding	0	0	2	2	0	0	0	0	0	0	0
MLP2	YIL149C	YIL149C_mRNA	protein_coding	0	0	4	0	0	0	0	0	0	0	4
MNL2	YLR057W	YLR057W_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
MNN1	YER001W	YER001W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
MNN2	YBR015C	YBR015C_mRNA	protein_coding	2	1	7	3	0	1	0	0	0	2	4
MNT2	YGL257C	YGL257C_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
MNT3	YIL014W	YIL014W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
MOG1	YJR074W	YJR074W_mRNA	protein_coding	0	0	9	0	0	0	0	0	0	0	9
MOT2	YER068W	YER068W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
MRC1	YCL061C	YCL061C_mRNA	protein_coding	6	4	17	6	0	4	0	0	0	6	11
MRN1	YPL184C	YPL184C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
MRPL1	YDR116C	YDR116C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
MRPL15	YLR312W-A	YLR312W-A_mRNA	protein_coding	0	0	3	1	0	0	0	0	0	0	2
MRPL25	YGR076C	YGR076C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
MRPL4	YLR439W	YLR439W_mRNA	protein_coding	1	0	0	0	0	0	0	0	0	1	0
MRPS35	YGR165W	YGR165W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
MRPS5	YBR251W	YBR251W_mRNA	protein_coding	0	0	9	9	0	0	0	0	0	0	0
MRS2	YOR334W	YOR334W_mRNA	protein_coding	0	0	4	1	0	0	0	0	0	0	3
MRX14	YDR115W	YDR115W_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
MSA1	YOR066W	YOR066W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
MSC1	YML128C	YML128C_mRNA	protein_coding	6	2	12	3	0	2	0	0	0	6	9
MSC3	YLR219W	YLR219W_mRNA	protein_coding	0	0	4	4	0	0	0	0	0	0	0
MSH6	YDR097C	YDR097C_mRNA	protein_coding	0	1	1	1	0	1	0	0	0	0	0
MSL5	YLR116W	YLR116W_mRNA	protein_coding	2	0	2	1	0	0	0	0	0	2	1
MSN2	YMR037C	YMR037C_mRNA	protein_coding	1	0	0	0	0	0	0	0	0	1	0
MSP1	YGR028W	YGR028W_mRNA	protein_coding	0	0	3	3	0	0	0	0	0	0	0
MST27	YGL051W	YGL051W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
MTC3	YGL226W	YGL226W_mRNA	protein_coding	0	0	3	3	0	0	0	0	0	0	0
MTC4	YBR255W	YBR255W_mRNA	protein_coding	2	1	11	7	0	1	0	0	0	2	4
MTC5	YDR128W	YDR128W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
MTE1	YGR042W	YGR042W_mRNA	protein_coding	1	2	14	7	0	2	0	0	0	1	7
MTH1	YDR277C	YDR277C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
MTL1	YGR023W	YGR023W_mRNA	protein_coding	3	0	6	1	0	0	0	0	0	3	5
MTO1	YGL236C	YGL236C_mRNA	protein_coding	1	0	0	0	0	0	0	0	0	1	0
MUM2	YBR057C	YBR057C_mRNA	protein_coding	0	0	2	1	0	0	0	0	0	0	1
MUP1	YGR055W	YGR055W_mRNA	protein_coding	1	0	9	6	0	0	0	0	0	1	3
MYO2	YOR326W	YOR326W_mRNA	protein_coding	0	1	2	1	0	1	0	0	0	0	1
NAB3	YPL190C	YPL190C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
NAB6	YML117W	YML117W_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
NAF1	YNL124W	YNL124W_mRNA	protein_coding	1	0	0	0	0	0	0	0	0	1	0
NAG1	YGR031C-A	YGR031C-A_mRNA	protein_coding	0	0	4	2	0	0	0	0	0	0	2
NCL1	YBL024W	YBL024W_mRNA	protein_coding	0	0	7	2	0	0	0	0	0	0	5
NCR1	YPL006W	YPL006W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
NCS6	YGL211W	YGL211W_mRNA	protein_coding	1	0	3	0	0	0	0	0	0	1	3
NDC1	YML031W	YML031W_mRNA	protein_coding	3	1	22	14	0	1	0	0	0	3	8
NDI1	YML120C	YML120C_mRNA	protein_coding	3	1	12	12	0	1	0	0	0	3	0
NDL1	YLR254C	YLR254C_mRNA	protein_coding	0	0	9	3	0	0	0	0	0	0	6
NEJ1	YLR265C	YLR265C_mRNA	protein_coding	0	0	5	4	0	0	0	0	0	0	1
NGL3	YML118W	YML118W_mRNA	protein_coding	0	0	4	0	0	0	0	0	0	0	4
NGR1	YBR212W	YBR212W_mRNA	protein_coding	0	0	4	2	0	0	0	0	0	0	2
NHP6B	YBR089C-A	YBR089C-A_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
NIF3	YGL221C	YGL221C_mRNA	protein_coding	0	0	5	0	0	0	0	0	0	0	5
NIT3	YLR351C	YLR351C_mRNA	protein_coding	1	0	1	0	0	0	0	0	0	1	1
NKP2	YLR315W	YLR315W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
NMA1	YLR328W	YLR328W_mRNA	protein_coding	0	0	2	2	0	0	0	0	0	0	0
NMA111	YNL123W	YNL123W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
NMD2	YHR077C	YHR077C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
NMD4	YLR363C	YLR363C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
NNF2	YGR089W	YGR089W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
NNT1	YLR285W	YLR285W_mRNA	protein_coding	1	1	9	4	0	1	0	0	0	1	5
NOP10	YHR072W-A	YHR072W-A_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
NOP15	YNL110C	YNL110C_mRNA	protein_coding	1	0	12	7	0	0	0	0	0	1	5
NOP16	YER002W	YER002W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
NOP53	YPL146C	YPL146C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
NOP8	YOL144W	YOL144W_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
NPA3	YJR072C	YJR072C_mRNA	protein_coding	3	2	5	4	0	2	0	0	0	3	1
NQM1	YGR043C	YGR043C_mRNA	protein_coding	1	0	14	8	0	0	0	0	0	1	6
NRG2	YBR066C	YBR066C_mRNA	protein_coding	0	0	4	2	0	0	0	0	0	0	2
NTA1	YJR062C	YJR062C_mRNA	protein_coding	0	1	6	1	0	1	0	0	0	0	5
NTH2	YBR001C	YBR001C_mRNA	protein_coding	0	0	13	6	0	0	0	0	0	0	7
NUC1	YJL208C	YJL208C_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
NUG1	YER006W	YER006W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
NUP188	YML103C	YML103C_mRNA	protein_coding	1	0	5	3	0	0	0	0	0	1	2
NUP2	YLR335W	YLR335W_mRNA	protein_coding	0	0	2	2	0	0	0	0	0	0	0
NUP57	YGR119C	YGR119C_mRNA	protein_coding	0	0	3	1	0	0	0	0	0	0	2
NUP85	YJR042W	YJR042W_mRNA	protein_coding	1	0	10	4	0	0	0	0	0	1	6
NVJ1	YHR195W	YHR195W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
NYV1	YLR093C	YLR093C_mRNA	protein_coding	0	0	13	8	0	0	0	0	0	0	5
OCA1	YNL099C	YNL099C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
OCH1	YGL038C	YGL038C_mRNA	protein_coding	2	0	3	1	0	0	0	0	0	2	2
OLE1	YGL055W	YGL055W_mRNA	protein_coding	1	0	0	0	0	0	0	0	0	1	0
OM45	YIL136W	YIL136W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
OPI3	YJR073C	YJR073C_mRNA	protein_coding	1	0	9	9	0	0	0	0	0	1	0
OPI9	YLR338W	YLR338W_mRNA	protein_coding	0	2	5	3	0	2	0	0	0	0	2
OPT1	YJL212C	YJL212C_mRNA	protein_coding	1	0	1	0	0	0	0	0	0	1	1
ORC1	YML065W	YML065W_mRNA	protein_coding	2	0	3	0	0	0	0	0	0	2	3
ORC2	YBR060C	YBR060C_mRNA	protein_coding	1	0	2	1	0	0	0	0	0	1	1
ORM1	YGR038W	YGR038W_mRNA	protein_coding	0	0	2	0	0	0	0	0	0	0	2
ORM2	YLR350W	YLR350W_mRNA	protein_coding	0	0	2	2	0	0	0	0	0	0	0
OSH3	YHR073W	YHR073W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
OSM1	YJR051W	YJR051W_mRNA	protein_coding	1	1	2	2	0	1	0	0	0	1	0
OST5	YGL226C-A	YGL226C-A_mRNA	protein_coding	0	0	3	0	0	0	0	0	0	0	3
OSW2	YLR054C	YLR054C_mRNA	protein_coding	0	1	3	1	0	1	0	0	0	0	2
OSW7	YFR039C	YFR039C_mRNA	protein_coding	0	0	2	2	0	0	0	0	0	0	0
PAC2	YER007W	YER007W_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
PAN6	YIL145C	YIL145C_mRNA	protein_coding	0	0	3	1	0	0	0	0	0	0	2
PAU23	YLR037C	YLR037C_mRNA	protein_coding	0	0	5	0	0	0	0	0	0	0	5
PBN1	YCL052C	YCL052C_mRNA	protein_coding	0	0	20	3	0	0	0	0	0	0	17
PCD1	YLR151C	YLR151C_mRNA	protein_coding	0	0	1	0	0	0	0	0	0	0	1
PCL1	YNL289W	YNL289W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
PCL5	YHR071W	YHR071W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
PCM1	YEL058W	YEL058W_mRNA	protein_coding	0	0	1	1	0	0	0	0	0	0	0
