# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ECM38	YLR299W	YLR299W_mRNA	protein_coding	0	2	1	11	3	0	1	0	0	0	0	0	2	8
ECM8	YBR076W	YBR076W_mRNA	protein_coding	0	0	1	2	0	0	1	0	0	0	0	0	0	2
EDC1	YGL222C	YGL222C_mRNA	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0
EGO4	YNR034W-A	YNR034W-A_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
EGT2	YNL327W	YNL327W_mRNA	protein_coding	0	0	0	4	1	0	0	0	0	0	0	0	0	3
EMC1	YCL045C	YCL045C_mRNA	protein_coding	0	4	3	15	9	0	3	0	0	0	0	0	4	6
EMC4	YGL231C	YGL231C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
EMP46	YLR080W	YLR080W_mRNA	protein_coding	0	3	1	19	8	0	1	0	0	0	0	0	3	11
EMP47	YFL048C	YFL048C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
EMP70	YLR083C	YLR083C_mRNA	protein_coding	0	3	1	14	8	0	1	0	0	0	0	0	3	6
END3	YNL084C	YNL084C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENP2	YGR145W	YGR145W_mRNA	protein_coding	0	0	0	8	1	0	0	0	0	0	0	0	0	7
ENV10	YLR065C	YLR065C_mRNA	protein_coding	0	2	0	8	2	0	0	0	0	0	0	0	2	6
ENV11	YGR071C	YGR071C_mRNA	protein_coding	0	1	1	2	2	0	1	0	0	0	0	0	1	0
ERF2	YLR246W	YLR246W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ERG13	YML126C	YML126C_mRNA	protein_coding	0	2	1	25	9	0	1	0	0	0	0	0	2	16
ERG25	YGR060W	YGR060W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ERG27	YLR100W	YLR100W_mRNA	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	5
ERG4	YGL012W	YGL012W_mRNA	protein_coding	0	0	0	5	2	0	0	0	0	0	0	0	0	3
ERO1	YML130C	YML130C_mRNA	protein_coding	0	2	0	13	4	0	0	0	0	0	0	0	2	9
ERT1	YBR239C	YBR239C_mRNA	protein_coding	0	3	2	6	0	0	2	0	0	0	0	0	3	6
ERV1	YGR029W	YGR029W_mRNA	protein_coding	0	0	1	2	2	0	1	0	0	0	0	0	0	0
ERV14	YGL054C	YGL054C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ERV15	YBR210W	YBR210W_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
ERV29	YGR284C	YGR284C_mRNA	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ERV41	YML067C	YML067C_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
ESBP6	YNL125C	YNL125C_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
ESL1	YIL151C	YIL151C_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
EST2	YLR318W	YLR318W_mRNA	protein_coding	0	1	0	3	1	0	0	0	0	0	0	0	1	2
EST3	YIL009C-A	YIL009C-A_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ETS2-1	ETS2-1	ETS2-1_rRNA	rRNA	0	0	0	3	3	0	0	0	0	0	0	0	0	0
EXG1	YLR300W	YLR300W_mRNA	protein_coding	0	2	0	8	1	0	0	0	0	0	0	0	2	7
EXO1	YOR033C	YOR033C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
EXO70	YJL085W	YJL085W_mRNA	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0
FAR11	YNL127W	YNL127W_mRNA	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0
FAT1	YBR041W	YBR041W_mRNA	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0
FBA1	YKL060C	YKL060C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
FHL1	YPR104C	YPR104C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
FHN1	YGR131W	YGR131W_mRNA	protein_coding	0	1	0	8	2	0	0	0	0	0	0	0	1	6
FIG1	YBR040W	YBR040W_mRNA	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0
FIG4	YNL325C	YNL325C_mRNA	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0
FKH1	YIL131C	YIL131C_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
FKS1	YLR342W	YLR342W_mRNA	protein_coding	0	2	0	3	2	0	0	0	0	0	0	0	2	1
FLO5	YHR211W	YHR211W_mRNA	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
FLO9	YAL063C	YAL063C_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
FLR1	YBR008C	YBR008C_mRNA	protein_coding	0	3	2	18	11	0	2	0	0	0	0	0	3	7
FLX1	YIL134W	YIL134W_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
FMC1	YIL098C	YIL098C_mRNA	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0
FMP23	YBR047W	YBR047W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
FMP25	YLR077W	YLR077W_mRNA	protein_coding	0	6	2	18	9	0	2	0	0	0	0	0	6	9
FMP48	YGR052W	YGR052W_mRNA	protein_coding	0	4	1	14	5	0	1	0	0	0	0	0	4	9
FMP52	YER004W	YER004W_mRNA	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0
FMT1	YBL013W	YBL013W_mRNA	protein_coding	0	1	0	23	15	0	0	0	0	0	0	0	1	8
FOB1	YDR110W	YDR110W_mRNA	protein_coding	0	1	0	6	5	0	0	0	0	0	0	0	1	1
FPR3	YML074C	YML074C_mRNA	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	2
FRE1	YLR214W	YLR214W_mRNA	protein_coding	0	2	0	7	2	0	0	0	0	0	0	0	2	5
FRE7	YOL152W	YOL152W_mRNA	protein_coding	0	0	0	15	14	0	0	0	0	0	0	0	0	1
FRK1	YPL141C	YPL141C_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
FRM2	YCL026C-A	YCL026C-A_mRNA	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0
FRS1	YLR060W	YLR060W_mRNA	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0
FRT1	YOR324C	YOR324C_mRNA	protein_coding	0	0	0	4	1	0	0	0	0	0	0	0	0	3
FSH3	YOR280C	YOR280C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
FUR4	YBR021W	YBR021W_mRNA	protein_coding	0	0	1	11	3	0	1	0	0	0	0	0	0	8
FUS1	YCL027W	YCL027W_mRNA	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0
FUS3	YBL016W	YBL016W_mRNA	protein_coding	0	2	1	18	9	0	1	0	0	0	0	0	2	9
FYV10	YIL097W	YIL097W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
FYV4	YHR059W	YHR059W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
FYV5	YCL058C	YCL058C_mRNA	protein_coding	0	0	0	29	17	0	0	0	0	0	0	0	0	12
FYV7	YLR068W	YLR068W_mRNA	protein_coding	0	0	1	16	9	0	1	0	0	0	0	0	0	7
FZF1	YGL254W	YGL254W_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
GAA1	YLR088W	YLR088W_mRNA	protein_coding	0	4	1	15	6	0	1	0	0	0	0	0	4	9
GAL1	YBR020W	YBR020W_mRNA	protein_coding	0	1	1	14	5	0	1	0	0	0	0	0	1	9
GAL10	YBR019C	YBR019C_mRNA	protein_coding	0	2	3	12	7	0	3	0	0	0	0	0	2	5
GAL2	YLR081W	YLR081W_mRNA	protein_coding	0	3	1	15	7	0	1	0	0	0	0	0	3	8
GAL7	YBR018C	YBR018C_mRNA	protein_coding	0	1	1	15	6	0	1	0	0	0	0	0	1	9
GAL80	YML051W	YML051W_mRNA	protein_coding	0	1	0	17	11	0	0	0	0	0	0	0	1	6
GAS2	YLR343W	YLR343W_mRNA	protein_coding	0	1	0	3	1	0	0	0	0	0	0	0	1	2
GAS5	YOL030W	YOL030W_mRNA	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0
GCD2	YGR083C	YGR083C_mRNA	protein_coding	0	1	0	3	1	0	0	0	0	0	0	0	1	2
GCD7	YLR291C	YLR291C_mRNA	protein_coding	0	4	1	26	17	0	1	0	0	0	0	0	4	9
GCV2	YMR189W	YMR189W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GEA1	YJR031C	YJR031C_mRNA	protein_coding	0	7	1	11	5	0	1	0	0	0	0	0	7	6
GEA2	YEL022W	YEL022W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GEF1	YJR040W	YJR040W_mRNA	protein_coding	0	2	2	17	8	0	2	0	0	0	0	0	2	9
GEP5	YLR091W	YLR091W_mRNA	protein_coding	0	0	1	16	10	0	1	0	0	0	0	0	0	6
GEP7	YGL057C	YGL057C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GEX1	YCL073C	YCL073C_mRNA	protein_coding	0	1	0	12	11	0	0	0	0	0	0	0	1	1
GEX2	YKR106W	YKR106W_mRNA	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	1
GIC1	YHR061C	YHR061C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GID7	YCL039W	YCL039W_mRNA	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	8
GIM5	YML094W	YML094W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GIP1	YBR045C	YBR045C_mRNA	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	1
GIS1	YDR096W	YDR096W_mRNA	protein_coding	0	1	1	0	0	0	1	0	0	0	0	0	1	0
GIS3	YLR094C	YLR094C_mRNA	protein_coding	0	2	0	16	9	0	0	0	0	0	0	0	2	7
GLK1	YCL040W	YCL040W_mRNA	protein_coding	0	5	0	7	0	0	0	0	0	0	0	0	5	7
GLO2	YDR272W	YDR272W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
GMC1	YDR506C	YDR506C_mRNA	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0
GPC1	YGR149W	YGR149W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GPI15	YNL038W	YNL038W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
GPI18	YBR004C	YBR004C_mRNA	protein_coding	0	0	0	23	13	0	0	0	0	0	0	0	0	10
GPI8	YDR331W	YDR331W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
GPN3	YLR243W	YLR243W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GPX2	YBR244W	YBR244W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GRE2	YOL151W	YOL151W_mRNA	protein_coding	0	6	1	14	12	0	1	0	0	0	0	0	6	2
GRX7	YBR014C	YBR014C_mRNA	protein_coding	0	0	0	12	1	0	0	0	0	0	0	0	0	11
GRX8	YLR364W	YLR364W_mRNA	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0
GSC2	YGR032W	YGR032W_mRNA	protein_coding	0	1	1	10	7	0	1	0	0	0	0	0	1	3
GSF2	YML048W	YML048W_mRNA	protein_coding	0	1	1	12	1	0	1	0	0	0	0	0	1	11
GSP1	YLR293C	YLR293C_mRNA	protein_coding	0	1	0	19	12	0	0	0	0	0	0	0	1	7
GSY2	YLR258W	YLR258W_mRNA	protein_coding	0	4	0	13	8	0	0	0	0	0	0	0	4	5
GTO1	YGR154C	YGR154C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GTR1	YML121W	YML121W_mRNA	protein_coding	0	0	0	16	0	0	0	0	0	0	0	0	0	16
GTR2	YGR163W	YGR163W_mRNA	protein_coding	0	1	0	4	3	0	0	0	0	0	0	0	1	1
GUF1	YLR289W	YLR289W_mRNA	protein_coding	0	5	0	28	10	0	0	0	0	0	0	0	5	18
GUT2	YIL155C	YIL155C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GYL1	YMR192W	YMR192W_mRNA	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0
GYP1	YOR070C	YOR070C_mRNA	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0
HAM1	YJR069C	YJR069C_mRNA	protein_coding	0	0	0	16	8	0	0	0	0	0	0	0	0	8
HAP1	YLR256W	YLR256W_mRNA	protein_coding	0	9	3	9	0	0	3	0	0	0	0	0	9	9
HAP2	YGL237C	YGL237C_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
HAP3	YBL021C	YBL021C_mRNA	protein_coding	0	0	0	22	5	0	0	0	0	0	0	0	0	17
HAT2	YEL056W	YEL056W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
HBN1	YCL026C-B	YCL026C-B_mRNA	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3
HCS1	YKL017C	YKL017C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
HEF3	YNL014W	YNL014W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
HEK2	YBL032W	YBL032W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
HEM2	YGL040C	YGL040C_mRNA	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	5
HFM1	YGL251C	YGL251C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
HHF1	YBR009C	YBR009C_mRNA	protein_coding	0	0	0	16	9	0	0	0	0	0	0	0	0	7
HHT1	YBR010W	YBR010W_mRNA	protein_coding	0	0	0	13	7	0	0	0	0	0	0	0	0	6
HIR1	YBL008W	YBL008W_mRNA	protein_coding	0	5	3	19	8	0	3	0	0	0	0	0	5	11
HIR3	YJR140C	YJR140C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
HIT1	YJR055W	YJR055W_mRNA	protein_coding	0	2	2	23	12	0	2	0	0	0	0	0	2	11
HMG1	YML075C	YML075C_mRNA	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	1	2
HMLALPHA1	YCL066W	YCL066W_mRNA	protein_coding	0	0	0	14	13	0	0	0	0	0	0	0	0	1
HMLALPHA2	YCL067C	YCL067C_mRNA	protein_coding	0	0	0	12	2	0	0	0	0	0	0	0	0	10
HMS1	YOR032C	YOR032C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
HOC1	YJR075W	YJR075W_mRNA	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	8
HOG1	YLR113W	YLR113W_mRNA	protein_coding	0	1	1	2	2	0	1	0	0	0	0	0	1	0
HOM6	YJR139C	YJR139C_mRNA	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0
HOP2	YGL033W	YGL033W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
HPA2	YPR193C	YPR193C_mRNA	protein_coding	0	0	0	7	7	0	0	0	0	0	0	0	0	0
HPC2	YBR215W	YBR215W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
HPF1	YOL155C	YOL155C_mRNA	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
HRD3	YLR207W	YLR207W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
HRI1	YLR301W	YLR301W_mRNA	protein_coding	0	0	0	10	3	0	0	0	0	0	0	0	0	7
HRT1	YOL133W	YOL133W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
HRT3	YLR097C	YLR097C_mRNA	protein_coding	0	0	0	9	4	0	0	0	0	0	0	0	0	5
HSC82	YMR186W	YMR186W_mRNA	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0
HSP26	YBR072W	YBR072W_mRNA	protein_coding	0	0	0	7	3	0	0	0	0	0	0	0	0	4
HSP30	YCR021C	YCR021C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
HSP60	YLR259C	YLR259C_mRNA	protein_coding	0	1	0	19	9	0	0	0	0	0	0	0	1	10
HSX1	tR(CCU)J	tR(CCU)J_tRNA	protein_coding	0	0	0	26	16	0	0	0	0	0	0	0	0	10
HTA2	YBL003C	YBL003C_mRNA	protein_coding	0	1	0	21	7	0	0	0	0	0	0	0	1	14
HTB2	YBL002W	YBL002W_mRNA	protein_coding	0	1	0	23	11	0	0	0	0	0	0	0	1	12
HTL1	YCR020W-B	YCR020W-B_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
HUA2	YOR284W	YOR284W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
HUB1	YNR032C-A	YNR032C-A_mRNA	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	1
HUL4	YJR036C	YJR036C_mRNA	protein_coding	0	6	2	18	9	0	2	0	0	0	0	0	6	9
HXK1	YFR053C	YFR053C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
HXK2	YGL253W	YGL253W_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
HXT11	YOL156W	YOL156W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
HXT8	YJL214W	YJL214W_mRNA	protein_coding	0	1	0	7	5	0	0	0	0	0	0	0	1	2
HXT9	YJL219W	YJL219W_mRNA	protein_coding	0	0	2	1	1	0	2	0	0	0	0	0	0	0
ICT1	YLR099C	YLR099C_mRNA	protein_coding	0	1	1	3	3	0	1	0	0	0	0	0	1	0
IFH1	YLR223C	YLR223C_mRNA	protein_coding	0	1	0	7	0	0	0	0	0	0	0	0	1	7
IKI3	YLR384C	YLR384C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
IMA4	YJL221C	YJL221C_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
IMA5	YJL216C	YJL216C_mRNA	protein_coding	0	1	0	6	2	0	0	0	0	0	0	0	1	4
IMD4	YML056C	YML056C_mRNA	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3
IMH1	YLR309C	YLR309C_mRNA	protein_coding	0	4	1	19	11	0	1	0	0	0	0	0	4	8
IML1	YJR138W	YJR138W_mRNA	protein_coding	0	3	1	0	0	0	1	0	0	0	0	0	3	0
IMO32	YGR031W	YGR031W_mRNA	protein_coding	0	0	0	5	3	0	0	0	0	0	0	0	0	2
IMT3	tM(CAU)J3	tM(CAU)J3_tRNA	protein_coding	0	0	0	17	8	0	0	0	0	0	0	0	0	9
IMT4	tM(CAU)E	tM(CAU)E_tRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
INO2	YDR123C	YDR123C_mRNA	protein_coding	0	3	0	23	9	0	0	0	0	0	0	0	3	14
INP52	YNL106C	YNL106C_mRNA	protein_coding	0	4	3	19	15	0	3	0	0	0	0	0	4	4
IOC2	YLR095C	YLR095C_mRNA	protein_coding	0	3	2	6	4	0	2	0	0	0	0	0	3	2
IPP1	YBR011C	YBR011C_mRNA	protein_coding	0	2	1	9	6	0	1	0	0	0	0	0	2	3
IRC2	YDR112W	YDR112W_mRNA	protein_coding	0	0	0	6	2	0	0	0	0	0	0	0	0	4
IRC25	YLR021W	YLR021W_mRNA	protein_coding	0	0	0	4	1	0	0	0	0	0	0	0	0	3
IRC3	YDR332W	YDR332W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
IRE1	YHR079C	YHR079C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ISN1	YOR155C	YOR155C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ISR1	YPR106W	YPR106W_mRNA	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
IST2	YBR086C	YBR086C_mRNA	protein_coding	0	1	0	2	1	0	0	0	0	0	0	0	1	1
ISW1	YBR245C	YBR245C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ISY1	YJR050W	YJR050W_mRNA	protein_coding	0	0	0	11	7	0	0	0	0	0	0	0	0	4
ITT1	YML068W	YML068W_mRNA	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	2
IZH1	YDR492W	YDR492W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
IZH3	YLR023C	YLR023C_mRNA	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	1
JIP3	YLR331C	YLR331C_mRNA	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	1
KAP104	YBR017C	YBR017C_mRNA	protein_coding	0	3	0	18	9	0	0	0	0	0	0	0	3	9
KAP122	YGL016W	YGL016W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
KAP95	YLR347C	YLR347C_mRNA	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	2
KAR4	YCL055W	YCL055W_mRNA	protein_coding	0	3	1	15	6	0	1	0	0	0	0	0	3	9
KAR9	YPL269W	YPL269W_mRNA	protein_coding	0	0	1	4	4	0	1	0	0	0	0	0	0	0
KCC4	YCL024W	YCL024W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
KCH1	YJR054W	YJR054W_mRNA	protein_coding	0	1	1	25	14	0	1	0	0	0	0	0	1	11
KEL1	YHR158C	YHR158C_mRNA	protein_coding	0	1	1	0	0	0	1	0	0	0	0	0	1	0
KEL2	YGR238C	YGR238C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
KEL3	YPL263C	YPL263C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
KES1	YPL145C	YPL145C_mRNA	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	2
KGD1	YIL125W	YIL125W_mRNA	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	1	1
KIN1	YDR122W	YDR122W_mRNA	protein_coding	0	1	4	20	13	0	4	0	0	0	0	0	1	7
KIN2	YLR096W	YLR096W_mRNA	protein_coding	0	0	0	14	5	0	0	0	0	0	0	0	0	9
KIP3	YGL216W	YGL216W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
KRE1	YNL322C	YNL322C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
KRE5	YOR336W	YOR336W_mRNA	protein_coding	0	1	1	4	1	0	1	0	0	0	0	0	1	3
KRR1	YCL059C	YCL059C_mRNA	protein_coding	0	1	0	31	22	0	0	0	0	0	0	0	1	9
KSS1	YGR040W	YGR040W_mRNA	protein_coding	0	2	0	22	21	0	0	0	0	0	0	0	2	1
LAA1	YJL207C	YJL207C_mRNA	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0
LAG2	YOL025W	YOL025W_mRNA	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	4
LAM1	YHR155W	YHR155W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
LAM4	YHR080C	YHR080C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
LAM6	YLR072W	YLR072W_mRNA	protein_coding	0	1	2	16	14	0	2	0	0	0	0	0	1	2
LAP2	YNL045W	YNL045W_mRNA	protein_coding	0	1	0	8	8	0	0	0	0	0	0	0	1	0
LCB5	YLR260W	YLR260W_mRNA	protein_coding	0	3	1	25	17	0	1	0	0	0	0	0	3	8
LCD1	YDR499W	YDR499W_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
LDB19	YOR322C	YOR322C_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
LDB7	YBL006C	YBL006C_mRNA	protein_coding	0	1	1	12	6	0	1	0	0	0	0	0	1	6
LEM3	YNL323W	YNL323W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
LEU1	YGL009C	YGL009C_mRNA	protein_coding	0	0	0	5	1	0	0	0	0	0	0	0	0	4
LEU4	YNL104C	YNL104C_mRNA	protein_coding	0	1	0	16	14	0	0	0	0	0	0	0	1	2
LIA1	YJR070C	YJR070C_mRNA	protein_coding	0	2	0	11	5	0	0	0	0	0	0	0	2	6
LIN1	YHR156C	YHR156C_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
LPP1	YDR503C	YDR503C_mRNA	protein_coding	0	2	0	1	1	0	0	0	0	0	0	0	2	0
LRE1	YCL051W	YCL051W_mRNA	protein_coding	0	2	4	22	15	0	4	0	0	0	0	0	2	7
LSB1	YGR136W	YGR136W_mRNA	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
LSM2	YBL026W	YBL026W_mRNA	protein_coding	0	0	0	18	4	1	0	0	0	0	0	0	0	13
LSR1	LSR1	LSR1_snRNA	snRNA	0	0	0	1	1	0	0	0	0	0	0	0	0	0
LST7	YGR057C	YGR057C_mRNA	protein_coding	0	1	0	11	11	0	0	0	0	0	0	0	1	0
MAK31	YCR020C-A	YCR020C-A_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
MAK32	YCR019W	YCR019W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
MAL31	YBR298C	YBR298C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
MAL32	YBR299W	YBR299W_mRNA	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
MAL33	YBR297W	YBR297W_mRNA	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0
MAP1	YLR244C	YLR244C_mRNA	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
MATALPHA1	YCR040W	YCR040W_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
MATALPHA2	YCR039C	YCR039C_mRNA	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1
MCD1	YDL003W	YDL003W_mRNA	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0
MCM10	YIL150C	YIL150C_mRNA	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
MCM2	YBL023C	YBL023C_mRNA	protein_coding	0	0	0	14	7	0	0	0	0	0	0	0	0	7
MCM4	YPR019W	YPR019W_mRNA	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
MCM5	YLR274W	YLR274W_mRNA	protein_coding	0	3	0	11	5	0	0	0	0	0	0	0	3	6
